"DATE","RIMP65Q4","RIMP66Q1","RIMP66Q2","RIMP66Q3","RIMP66Q4","RIMP67Q1","RIMP67Q2","RIMP67Q3","RIMP67Q4","RIMP68Q1","RIMP68Q2","RIMP68Q3","RIMP68Q4","RIMP69Q1","RIMP69Q2","RIMP69Q3","RIMP69Q4","RIMP70Q1","RIMP70Q2","RIMP70Q3","RIMP70Q4","RIMP71Q1","RIMP71Q2","RIMP71Q3","RIMP71Q4","RIMP72Q1","RIMP72Q2","RIMP72Q3","RIMP72Q4","RIMP73Q1","RIMP73Q2","RIMP73Q3","RIMP73Q4","RIMP74Q1","RIMP74Q2","RIMP74Q3","RIMP74Q4","RIMP75Q1","RIMP75Q2","RIMP75Q3","RIMP75Q4","RIMP76Q1","RIMP76Q2","RIMP76Q3","RIMP76Q4","RIMP77Q1","RIMP77Q2","RIMP77Q3","RIMP77Q4","RIMP78Q1","RIMP78Q2","RIMP78Q3","RIMP78Q4","RIMP79Q1","RIMP79Q2","RIMP79Q3","RIMP79Q4","RIMP80Q1","RIMP80Q2","RIMP80Q3","RIMP80Q4","RIMP81Q1","RIMP81Q2","RIMP81Q3","RIMP81Q4","RIMP82Q1","RIMP82Q2","RIMP82Q3","RIMP82Q4","RIMP83Q1","RIMP83Q2","RIMP83Q3","RIMP83Q4","RIMP84Q1","RIMP84Q2","RIMP84Q3","RIMP84Q4","RIMP85Q1","RIMP85Q2","RIMP85Q3","RIMP85Q4","RIMP86Q1","RIMP86Q2","RIMP86Q3","RIMP86Q4","RIMP87Q1","RIMP87Q2","RIMP87Q3","RIMP87Q4","RIMP88Q1","RIMP88Q2","RIMP88Q3","RIMP88Q4","RIMP89Q1","RIMP89Q2","RIMP89Q3","RIMP89Q4","RIMP90Q1","RIMP90Q2","RIMP90Q3","RIMP90Q4","RIMP91Q1","RIMP91Q2","RIMP91Q3","RIMP91Q4","RIMP92Q1","RIMP92Q2","RIMP92Q3","RIMP92Q4","RIMP93Q1","RIMP93Q2","RIMP93Q3","RIMP93Q4","RIMP94Q1","RIMP94Q2","RIMP94Q3","RIMP94Q4","RIMP95Q1","RIMP95Q2","RIMP95Q3","RIMP95Q4","RIMP96Q1","RIMP96Q2","RIMP96Q3","RIMP96Q4","RIMP97Q1","RIMP97Q2","RIMP97Q3","RIMP97Q4","RIMP98Q1","RIMP98Q2","RIMP98Q3","RIMP98Q4","RIMP99Q1","RIMP99Q2","RIMP99Q3","RIMP99Q4","RIMP00Q1","RIMP00Q2","RIMP00Q3","RIMP00Q4","RIMP01Q1","RIMP01Q2","RIMP01Q3","RIMP01Q4","RIMP02Q1","RIMP02Q2","RIMP02Q3","RIMP02Q4","RIMP03Q1","RIMP03Q2","RIMP03Q3","RIMP03Q4","RIMP04Q1","RIMP04Q2","RIMP04Q3","RIMP04Q4","RIMP05Q1","RIMP05Q2","RIMP05Q3","RIMP05Q4","RIMP06Q1","RIMP06Q2","RIMP06Q3","RIMP06Q4","RIMP07Q1","RIMP07Q2","RIMP07Q3","RIMP07Q4","RIMP08Q1","RIMP08Q2","RIMP08Q3","RIMP08Q4","RIMP09Q1","RIMP09Q2","RIMP09Q3","RIMP09Q4","RIMP10Q1","RIMP10Q2","RIMP10Q3","RIMP10Q4","RIMP11Q1","RIMP11Q2","RIMP11Q3","RIMP11Q4","RIMP12Q1","RIMP12Q2","RIMP12Q3","RIMP12Q4","RIMP13Q1","RIMP13Q2","RIMP13Q3","RIMP13Q4","RIMP14Q1","RIMP14Q2","RIMP14Q3","RIMP14Q4","RIMP15Q1","RIMP15Q2","RIMP15Q3","RIMP15Q4"
"1987:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","584.5","589.3","585.2","585.2","585.2","585.2","593.9","593.9","593.9","593.9","598.3","598.3","598.3","598.3","598.3","598.3","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","522.1","577.0","577.0","577.0","577.0","577.0","577.0","577.0","577.0","577.0","577.0","577.0","577.017","577.017","577.017","577.017","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","583.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","558.0","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.2","618.2","618.2","618.2","618.2","618.2","618.2","618.2","664.6","664.6","664.6","664.6","663.2","663.2","663.2","663.2","663.2","663.2"
"1988:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","596.8","595.1","595.1","595.1","595.1","595.6","595.6","595.6","595.6","599.0","599.0","599.0","599.0","599.0","599.0","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","520.5","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.756","574.756","574.756","574.756","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","580.3","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","615.8","615.8","615.8","615.8","615.8","615.8","615.8","615.8","615.3","615.3","615.3","615.3","615.3","615.3","615.3","615.3","661.5","661.5","661.5","661.5","660.1","660.1","660.1","660.1","660.1","660.1"
"1988:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","585.7","589.5","589.5","589.5","592.3","592.3","592.3","592.3","599.5","599.5","599.5","599.5","599.5","599.5","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","515.2","568.3","568.3","568.3","568.3","568.3","568.3","568.3","568.3","568.3","568.3","568.3","568.301","568.301","568.301","568.301","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","573.2","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1","608.7","608.7","608.7","608.7","608.7","608.7","608.7","608.7","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","653.8","653.8","653.8","653.8","652.5","652.5","652.5","652.5","652.5","652.5"
"1988:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","601.9","607.9","607.9","606.9","606.9","606.9","606.9","612.8","612.8","612.8","612.8","612.8","612.8","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","580.0","580.0","580.0","580.0","580.0","580.0","580.0","580.0","580.0","580.0","580.0","580.014","580.014","580.014","580.014","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","586.1","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","561.9","623.1","623.1","623.1","623.1","623.1","623.1","623.1","623.1","622.6","622.6","622.6","622.6","622.6","622.6","622.6","622.6","669.3","669.3","669.3","669.3","667.9","667.9","667.9","667.9","667.9","667.9"
"1988:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","618.3","627.4","625.2","625.2","625.2","625.2","631.0","631.0","631.0","631.0","631.0","631.0","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","597.8","597.8","597.8","597.8","597.8","597.8","597.8","597.8","597.8","597.8","597.8","597.788","597.788","597.788","597.788","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","603.0","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","578.8","642.0","642.0","642.0","642.0","642.0","642.0","642.0","642.0","641.6","641.6","641.6","641.6","641.6","641.6","641.6","641.6","689.7","689.7","689.7","689.7","688.3","688.3","688.3","688.3","688.3","688.3"
"1989:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","631.0","624.6","624.6","624.6","624.6","627.3","627.3","627.3","627.3","627.3","627.3","532.4","532.4","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","534.3","590.7","590.7","590.7","590.7","590.7","590.7","590.7","590.7","590.7","590.7","590.7","590.677","590.677","590.677","590.677","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","595.7","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","577.2","645.0","645.0","645.0","645.0","645.0","645.0","645.0","645.0","644.6","644.6","644.6","644.6","644.6","644.6","644.6","644.6","692.9","692.9","692.9","692.9","691.5","691.5","691.5","691.5","691.5","691.5"
"1989:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","637.7","638.7","638.7","638.7","646.5","646.5","646.5","646.5","646.5","646.5","541.3","541.3","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","541.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.876","601.876","601.876","601.876","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","585.8","648.1","648.1","648.1","648.1","648.1","648.1","648.1","648.1","647.6","647.6","647.6","647.6","647.6","647.6","647.6","647.6","696.2","696.2","696.2","696.2","694.8","694.8","694.8","694.8","694.8","694.8"
"1989:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","661.6","650.2","650.2","656.6","656.6","656.6","656.6","656.6","656.6","550.3","550.3","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","550.5","605.8","605.8","605.8","605.8","605.8","605.8","605.8","605.8","605.8","605.8","605.8","605.803","605.803","605.803","605.803","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","612.3","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","586.5","647.2","647.2","647.2","647.2","647.2","647.2","647.2","647.2","646.7","646.7","646.7","646.7","646.7","646.7","646.7","646.7","695.2","695.2","695.2","695.2","693.8","693.8","693.8","693.8","693.8","693.8"
"1989:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","662.0","653.8","659.4","659.4","659.4","659.4","659.4","659.4","555.7","555.7","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","555.0","613.5","613.5","613.5","613.5","613.5","613.5","613.5","613.5","613.5","613.5","613.5","613.462","613.462","613.462","613.462","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","620.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","594.2","658.9","658.9","658.9","658.9","658.9","658.9","658.9","658.9","658.4","658.4","658.4","658.4","658.4","658.4","658.4","658.4","707.8","707.8","707.8","707.8","706.4","706.4","706.4","706.4","706.4","706.4"
"1990:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","649.2","663.5","663.5","663.5","663.5","663.5","663.5","552.2","552.2","558.6","558.6","558.6","558.6","558.6","562.6","562.6","562.6","562.6","562.6","562.6","562.6","562.6","562.6","622.3","622.3","622.3","622.3","622.3","622.3","622.3","622.3","622.3","622.3","622.3","622.272","622.272","622.272","622.272","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","628.1","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","607.3","679.8","679.8","679.8","679.8","679.8","679.8","679.8","679.8","679.3","679.3","679.3","679.3","679.3","679.3","679.3","679.3","730.2","730.2","730.2","730.2","728.8","728.8","728.8","728.8","728.8","728.8"
"1990:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","668.7","664.7","664.7","664.7","664.7","664.7","554.5","554.5","565.6","565.6","565.6","565.6","565.6","570.0","570.0","570.0","570.0","570.0","570.0","570.0","570.0","570.0","633.5","633.5","633.5","633.5","633.5","633.5","633.5","633.5","633.5","633.5","633.5","633.484","633.484","633.484","633.484","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","614.1","678.7","678.7","678.7","678.7","678.7","678.7","678.7","678.7","678.2","678.2","678.2","678.2","678.2","678.2","678.2","678.2","729.0","729.0","729.0","729.0","727.6","727.6","727.6","727.6","727.6","727.6"
"1990:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","674.5","677.0","677.0","677.0","677.0","567.4","567.4","567.7","567.7","567.7","567.7","567.7","570.7","570.7","570.7","570.7","570.7","570.7","570.7","570.7","570.7","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.002","633.002","633.002","633.002","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","640.4","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","613.2","675.9","675.9","675.9","675.9","675.9","675.9","675.9","675.9","675.4","675.4","675.4","675.4","675.4","675.4","675.4","675.4","726.1","726.1","726.1","726.1","724.6","724.6","724.6","724.6","724.6","724.6"
"1990:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","666.0","656.0","656.0","656.0","553.7","553.7","555.3","555.3","555.3","555.3","555.3","557.2","557.2","557.2","557.2","557.2","557.2","557.2","557.2","557.2","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.406","616.406","616.406","616.406","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","621.0","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","593.8","657.8","657.8","657.8","657.8","657.8","657.8","657.8","657.8","657.3","657.3","657.3","657.3","657.3","657.3","657.3","657.3","706.6","706.6","706.6","706.6","705.2","705.2","705.2","705.2","705.2","705.2"
