"","NBRECBASA65M11","NBRECBASA66M2","NBRECBASA66M5","NBRECBASA66M8","NBRECBASA66M11","NBRECBASA67M2","NBRECBASA67M5","NBRECBASA67M8","NBRECBASA67M11","NBRECBASA68M2","NBRECBASA68M5","NBRECBASA68M8","NBRECBASA68M11","NBRECBASA69M2","NBRECBASA69M5","NBRECBASA69M8","NBRECBASA69M11","NBRECBASA70M2","NBRECBASA70M5","NBRECBASA70M8","NBRECBASA70M11","NBRECBASA71M2","NBRECBASA71M5","NBRECBASA71M8","NBRECBASA71M11","NBRECBASA72M2","NBRECBASA72M5","NBRECBASA72M8","NBRECBASA72M11","NBRECBASA73M2","NBRECBASA73M5","NBRECBASA73M8","NBRECBASA73M11","NBRECBASA74M2","NBRECBASA74M5","NBRECBASA74M8","NBRECBASA74M11","NBRECBASA75M2","NBRECBASA75M5","NBRECBASA75M8","NBRECBASA75M11","NBRECBASA76M2","NBRECBASA76M5","NBRECBASA76M8","NBRECBASA76M11","NBRECBASA77M2","NBRECBASA77M5","NBRECBASA77M8","NBRECBASA77M11","NBRECBASA78M2","NBRECBASA78M5","NBRECBASA78M8","NBRECBASA78M11","NBRECBASA79M2","NBRECBASA79M5","NBRECBASA79M8","NBRECBASA79M11","NBRECBASA80M2","NBRECBASA80M5","NBRECBASA80M8","NBRECBASA80M11","NBRECBASA81M2","NBRECBASA81M5","NBRECBASA81M8","NBRECBASA81M11","NBRECBASA82M2","NBRECBASA82M5","NBRECBASA82M8","NBRECBASA82M11","NBRECBASA83M2","NBRECBASA83M5","NBRECBASA83M8","NBRECBASA83M11","NBRECBASA84M2","NBRECBASA84M5","NBRECBASA84M8","NBRECBASA84M11","NBRECBASA85M2","NBRECBASA85M5","NBRECBASA85M8","NBRECBASA85M11","NBRECBASA86M2","NBRECBASA86M5","NBRECBASA86M8","NBRECBASA86M11","NBRECBASA87M2","NBRECBASA87M5","NBRECBASA87M8","NBRECBASA87M11","NBRECBASA88M2","NBRECBASA88M5","NBRECBASA88M8","NBRECBASA88M11","NBRECBASA89M2","NBRECBASA89M5","NBRECBASA89M8","NBRECBASA89M11","NBRECBASA90M2","NBRECBASA90M5","NBRECBASA90M8","NBRECBASA90M11","NBRECBASA91M2","NBRECBASA91M5","NBRECBASA91M8","NBRECBASA91M11","NBRECBASA92M2","NBRECBASA92M5","NBRECBASA92M8","NBRECBASA92M11","NBRECBASA93M2","NBRECBASA93M5","NBRECBASA93M8","NBRECBASA93M11","NBRECBASA94M2","NBRECBASA94M5","NBRECBASA94M8","NBRECBASA94M11","NBRECBASA95M2","NBRECBASA95M5","NBRECBASA95M8","NBRECBASA95M11","NBRECBASA96M2","NBRECBASA96M5","NBRECBASA96M8","NBRECBASA96M11","NBRECBASA97M2","NBRECBASA97M5","NBRECBASA97M8","NBRECBASA97M11","NBRECBASA98M2","NBRECBASA98M5","NBRECBASA98M8","NBRECBASA98M11","NBRECBASA99M2","NBRECBASA99M5","NBRECBASA99M8","NBRECBASA99M11","NBRECBASA00M2","NBRECBASA00M5","NBRECBASA00M8","NBRECBASA00M11","NBRECBASA01M2","NBRECBASA01M5","NBRECBASA01M8","NBRECBASA01M11","NBRECBASA02M2","NBRECBASA02M5","NBRECBASA02M8","NBRECBASA02M11","NBRECBASA03M2","NBRECBASA03M5","NBRECBASA03M8","NBRECBASA03M11","NBRECBASA04M2","NBRECBASA04M5","NBRECBASA04M8","NBRECBASA04M11","NBRECBASA05M2","NBRECBASA05M5","NBRECBASA05M8","NBRECBASA05M11","NBRECBASA06M2","NBRECBASA06M5","NBRECBASA06M8","NBRECBASA06M11","NBRECBASA07M2","NBRECBASA07M5","NBRECBASA07M8","NBRECBASA07M11","NBRECBASA08M2","NBRECBASA08M5","NBRECBASA08M8","NBRECBASA08M11","NBRECBASA09M2","NBRECBASA09M5","NBRECBASA09M8","NBRECBASA09M11","NBRECBASA10M2","NBRECBASA10M5","NBRECBASA10M8","NBRECBASA10M11","NBRECBASA11M2","NBRECBASA11M5","NBRECBASA11M8","NBRECBASA11M11","NBRECBASA12M2","NBRECBASA12M5","NBRECBASA12M8","NBRECBASA12M11","NBRECBASA13M2","NBRECBASA13M5"
"1959:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.629","12.629","42","42","42","12.779","12.779","12.779","12.736","12.736","12.736","12.736","12.63","12.63","12.63","12.63","12.63","12.783","12.783","12.783","13.742","13.742","13.742","13.742","13.742","13.742","13.742","13.742","12.183","12.183","12.183","42","42","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177"
"1959:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.648","12.648","42","42","42","12.798","12.798","12.798","12.755","12.755","12.755","12.755","12.651","12.651","12.651","12.651","12.651","12.805","12.805","12.805","13.762","13.762","13.762","13.762","13.762","13.762","13.762","13.762","12.201","12.201","12.201","42","42","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202"
"1959:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.584","12.584","42","42","42","12.734","12.734","12.734","12.692","12.692","12.692","12.692","12.589","12.589","12.589","12.589","12.589","12.743","12.743","12.743","13.696","13.696","13.696","13.696","13.696","13.696","13.696","13.696","12.136","12.136","12.136","42","42","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15"
"1959:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.627","12.627","42","42","42","12.777","12.777","12.777","12.735","12.735","12.735","12.735","12.632","12.632","12.632","12.632","12.632","12.787","12.787","12.787","13.74","13.74","13.74","13.74","13.74","13.74","13.74","13.74","12.178","12.178","12.178","42","42","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194"
"1959:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.601","12.601","42","42","42","12.754","12.754","12.754","12.713","12.713","12.713","12.713","12.611","12.611","12.611","12.611","12.611","12.77","12.77","12.77","13.727","13.727","13.727","13.727","13.727","13.727","13.727","13.727","12.15","12.15","12.15","42","42","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168"
"1960:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.618","12.618","42","42","42","12.77","12.77","12.77","12.729","12.729","12.729","12.729","12.627","12.627","12.627","12.627","12.627","12.784","12.784","12.784","13.737","13.737","13.737","13.737","13.737","13.737","13.737","13.737","12.17","12.17","12.17","42","42","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194"
"1960:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.469","12.469","42","42","42","12.616","12.616","12.616","12.574","12.574","12.574","12.574","12.471","12.471","12.471","12.471","12.471","12.622","12.622","12.622","13.557","13.557","13.557","13.557","13.557","13.557","13.557","13.557","12.025","12.025","12.025","42","42","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074"
"1960:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.54","12.54","42","42","42","12.686","12.686","12.686","12.644","12.644","12.644","12.644","12.542","12.542","12.542","12.542","12.542","12.69","12.69","12.69","13.619","13.619","13.619","13.619","13.619","13.619","13.619","13.619","12.096","12.096","12.096","42","42","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155"
"1960:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.544","12.544","42","42","42","12.69","12.69","12.69","12.649","12.649","12.649","12.649","12.548","12.548","12.548","12.548","12.548","12.698","12.698","12.698","13.626","13.626","13.626","13.626","13.626","13.626","13.626","13.626","12.095","12.095","12.095","42","42","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161"
"1960:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.739","12.739","42","42","42","12.885","12.885","12.885","12.844","12.844","12.844","12.844","12.742","12.742","12.742","12.742","12.742","12.893","12.893","12.893","13.825","13.825","13.825","13.825","13.825","13.825","13.825","13.825","12.289","12.289","12.289","42","42","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344"
"1960:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","12.851","12.851","42","42","42","12.998","12.998","12.998","12.956","12.956","12.956","12.956","12.855","12.855","12.855","12.855","12.855","13.006","13.006","13.006","13.94","13.94","13.94","13.94","13.94","13.94","13.94","13.94","12.397","12.397","12.397","42","42","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451"
"1960:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.037","13.037","42","42","42","13.185","13.185","13.185","13.144","13.144","13.144","13.144","13.041","13.041","13.041","13.041","13.041","13.194","13.194","13.194","14.137","14.137","14.137","14.137","14.137","14.137","14.137","14.137","12.577","12.577","12.577","42","42","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615"
"1960:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.22","13.22","42","42","42","13.368","13.368","13.368","13.325","13.325","13.325","13.325","13.222","13.222","13.222","13.222","13.222","13.373","13.373","13.373","14.317","14.317","14.317","14.317","14.317","14.317","14.317","14.317","12.753","12.753","12.753","42","42","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782"
"1960:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.376","13.376","42","42","42","13.525","13.525","13.525","13.483","13.483","13.483","13.483","13.38","13.38","13.38","13.38","13.38","13.533","13.533","13.533","14.478","14.478","14.478","14.478","14.478","14.478","14.478","14.478","12.9","12.9","12.9","42","42","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932"
"1960:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.506","13.506","42","42","42","13.657","13.657","13.657","13.615","13.615","13.615","13.615","13.512","13.512","13.512","13.512","13.512","13.667","13.667","13.667","14.617","14.617","14.617","14.617","14.617","14.617","14.617","14.617","13.023","13.023","13.023","42","42","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049"
"1960:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.631","13.631","42","42","42","13.781","13.781","13.781","13.74","13.74","13.74","13.74","13.637","13.637","13.637","13.637","13.637","13.793","13.793","13.793","14.743","14.743","14.743","14.743","14.743","14.743","14.743","14.743","13.139","13.139","13.139","42","42","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.165999999999999","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166","11.166"
"1960:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.636","13.636","42","42","42","13.789","13.789","13.789","13.749","13.749","13.749","13.749","13.648","13.648","13.648","13.648","13.648","13.808","13.808","13.808","14.759","14.759","14.759","14.759","14.759","14.759","14.759","14.759","13.135","13.135","13.135","42","42","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.171999999999999","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172","11.172"
"1961:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","13.737","13.737","42","42","42","13.89","13.89","13.89","13.85","13.85","13.85","13.85","13.748","13.748","13.748","13.748","13.748","13.908","13.908","13.908","14.862","14.862","14.862","14.862","14.862","14.862","14.862","14.862","13.231","13.231","13.231","42","42","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.258999999999999","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259","11.259"
