"DATE","PROPI65Q4","PROPI66Q1","PROPI66Q2","PROPI66Q3","PROPI66Q4","PROPI67Q1","PROPI67Q2","PROPI67Q3","PROPI67Q4","PROPI68Q1","PROPI68Q2","PROPI68Q3","PROPI68Q4","PROPI69Q1","PROPI69Q2","PROPI69Q3","PROPI69Q4","PROPI70Q1","PROPI70Q2","PROPI70Q3","PROPI70Q4","PROPI71Q1","PROPI71Q2","PROPI71Q3","PROPI71Q4","PROPI72Q1","PROPI72Q2","PROPI72Q3","PROPI72Q4","PROPI73Q1","PROPI73Q2","PROPI73Q3","PROPI73Q4","PROPI74Q1","PROPI74Q2","PROPI74Q3","PROPI74Q4","PROPI75Q1","PROPI75Q2","PROPI75Q3","PROPI75Q4","PROPI76Q1","PROPI76Q2","PROPI76Q3","PROPI76Q4","PROPI77Q1","PROPI77Q2","PROPI77Q3","PROPI77Q4","PROPI78Q1","PROPI78Q2","PROPI78Q3","PROPI78Q4","PROPI79Q1","PROPI79Q2","PROPI79Q3","PROPI79Q4","PROPI80Q1","PROPI80Q2","PROPI80Q3","PROPI80Q4","PROPI81Q1","PROPI81Q2","PROPI81Q3","PROPI81Q4","PROPI82Q1","PROPI82Q2","PROPI82Q3","PROPI82Q4","PROPI83Q1","PROPI83Q2","PROPI83Q3","PROPI83Q4","PROPI84Q1","PROPI84Q2","PROPI84Q3","PROPI84Q4","PROPI85Q1","PROPI85Q2","PROPI85Q3","PROPI85Q4","PROPI86Q1","PROPI86Q2","PROPI86Q3","PROPI86Q4","PROPI87Q1","PROPI87Q2","PROPI87Q3","PROPI87Q4","PROPI88Q1","PROPI88Q2","PROPI88Q3","PROPI88Q4","PROPI89Q1","PROPI89Q2","PROPI89Q3","PROPI89Q4","PROPI90Q1","PROPI90Q2","PROPI90Q3","PROPI90Q4","PROPI91Q1","PROPI91Q2","PROPI91Q3","PROPI91Q4","PROPI92Q1","PROPI92Q2","PROPI92Q3","PROPI92Q4","PROPI93Q1","PROPI93Q2","PROPI93Q3","PROPI93Q4","PROPI94Q1","PROPI94Q2","PROPI94Q3","PROPI94Q4","PROPI95Q1","PROPI95Q2","PROPI95Q3","PROPI95Q4","PROPI96Q1","PROPI96Q2","PROPI96Q3","PROPI96Q4","PROPI97Q1","PROPI97Q2","PROPI97Q3","PROPI97Q4","PROPI98Q1","PROPI98Q2","PROPI98Q3","PROPI98Q4","PROPI99Q1","PROPI99Q2","PROPI99Q3","PROPI99Q4","PROPI00Q1","PROPI00Q2","PROPI00Q3","PROPI00Q4","PROPI01Q1","PROPI01Q2","PROPI01Q3","PROPI01Q4","PROPI02Q1","PROPI02Q2","PROPI02Q3","PROPI02Q4","PROPI03Q1","PROPI03Q2","PROPI03Q3","PROPI03Q4","PROPI04Q1","PROPI04Q2","PROPI04Q3","PROPI04Q4","PROPI05Q1","PROPI05Q2","PROPI05Q3","PROPI05Q4","PROPI06Q1","PROPI06Q2","PROPI06Q3","PROPI06Q4","PROPI07Q1","PROPI07Q2","PROPI07Q3","PROPI07Q4","PROPI08Q1","PROPI08Q2","PROPI08Q3","PROPI08Q4","PROPI09Q1","PROPI09Q2","PROPI09Q3","PROPI09Q4","PROPI10Q1","PROPI10Q2","PROPI10Q3","PROPI10Q4","PROPI11Q1","PROPI11Q2","PROPI11Q3","PROPI11Q4","PROPI12Q1","PROPI12Q2","PROPI12Q3","PROPI12Q4","PROPI13Q1","PROPI13Q2","PROPI13Q3","PROPI13Q4","PROPI14Q1","PROPI14Q2","PROPI14Q3","PROPI14Q4","PROPI15Q1","PROPI15Q2"
"1980:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","131.3","130.0","130.0","133.7","133.7","133.7","133.7","133.7","133.7","122.7","122.7","122.7","122.7","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","180.8","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","175.7","171.8","171.8","171.8","171.8","171.8","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","#N/A","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","#N/A","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6"
"1980:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.2","120.5","124.9","124.9","124.9","124.9","124.9","124.9","108.9","108.9","108.9","108.9","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","151.6","151.6","151.6","151.6","151.6","160.1","160.1","160.1","160.1","160.1","160.1","160.1","160.1","160.1","160.1","#N/A","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.3","164.3","164.3","164.4","164.4","164.4","164.4","164.4","164.4","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","#N/A","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","162.2","160.3","160.3","160.3","160.3","160.3","160.3","160.3","160.3"
"1980:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","124.2","129.7","129.7","129.7","129.7","129.7","129.7","115.5","115.5","115.5","115.5","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","167.5","167.5","167.5","167.5","167.5","176.5","176.5","176.5","176.5","176.5","176.5","176.5","176.5","176.5","176.5","#N/A","177.0","177.0","177.0","177.0","177.0","177.0","177.0","176.9","176.9","176.9","177.0","177.0","177.0","177.0","177.0","177.0","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","#N/A","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","173.4","173.4","173.4","173.4","173.4","173.4","173.4","173.4"
"1980:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","134.2","134.0","134.0","134.0","134.0","134.0","118.0","118.0","118.0","118.0","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","183.4","181.0","181.0","181.0","181.0","181.0","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2","#N/A","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","#N/A","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","187.3","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0"
"1981:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","131.4","132.1","132.1","132.1","132.1","123.4","123.4","123.4","123.4","121.1","121.1","121.1","121.1","127.8","127.8","127.8","127.8","127.8","127.8","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","189.6","189.6","189.6","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","189.5","188.3","188.3","188.3","188.3","188.3","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","#N/A","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","#N/A","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2"
"1981:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","134.3","134.1","134.1","134.1","123.8","123.8","123.8","123.8","118.9","118.9","118.9","118.9","123.9","123.9","123.9","123.9","123.9","123.9","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","182.0","182.0","182.0","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","177.0","177.0","177.0","177.0","177.0","183.2","183.2","183.2","183.2","183.2","183.2","183.2","183.2","183.2","183.2","#N/A","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.8","181.8","181.8","181.9","181.9","181.9","181.9","181.9","181.9","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","#N/A","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","177.9","176.4","176.4","176.4","176.4","176.4","176.4","176.4","176.4"
"1981:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","135.4","137.1","137.1","127.5","127.5","127.5","127.5","123.5","123.5","123.5","123.5","129.7","129.7","129.7","129.7","129.7","129.7","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","180.2","178.6","178.6","178.6","178.6","178.6","192.4","192.4","192.4","192.4","192.4","192.4","192.4","192.4","192.4","192.4","#N/A","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","186.3","#N/A","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","182.3","182.3","182.3","182.3","182.3","182.3","182.3","182.3"
"1981:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","134.1","135.9","124.1","124.1","124.1","124.1","117.1","117.1","117.1","117.1","119.1","119.1","119.1","119.1","119.1","119.1","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","171.5","169.4","169.4","169.4","169.4","169.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","#N/A","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","177.4","#N/A","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","174.2","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8"
"1982:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","129.0","116.4","116.4","116.4","116.4","111.2","111.2","111.2","111.2","116.8","116.8","116.8","116.8","116.8","116.8","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","159.9","158.7","158.7","158.7","158.7","158.7","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","167.4","#N/A","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.5","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","#N/A","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","167.6","165.2","165.2","165.2","165.2","165.2","165.2","165.2","165.2"
"1982:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.3","117.3","117.3","117.3","104.9","104.9","104.9","104.9","107.7","107.7","107.7","107.7","107.7","107.7","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","172.6","175.5","175.5","175.5","175.5","175.5","182.0","182.0","182.0","182.0","182.0","182.0","182.0","182.0","182.0","182.0","#N/A","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","175.1","#N/A","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","169.4","169.4","169.4","169.4","169.4","169.4","169.4","169.4"
"1982:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.4","118.4","118.4","103.6","103.6","103.6","103.6","102.2","102.2","102.2","102.2","102.2","102.2","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","174.6","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","167.6","167.6","167.6","167.6","167.6","177.9","177.9","177.8","177.8","177.8","177.9","177.9","177.9","177.9","177.9","#N/A","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","#N/A","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","170.7","170.7","170.7","170.7","170.7","170.7","170.7","170.7"
"1982:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","128.1","128.9","116.2","116.2","116.2","116.2","117.6","117.6","117.6","117.6","117.6","117.6","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","179.8","179.8","179.8","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","179.9","177.8","177.8","177.8","177.8","177.8","191.0","191.0","191.0","191.0","191.0","191.0","191.0","191.0","191.0","191.0","#N/A","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.3","190.3","190.3","190.4","190.4","190.4","190.4","190.4","190.4","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","#N/A","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","179.5","179.5","179.5","179.5","179.5","179.5","179.5","179.5"
"1983:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","128.5","120.6","120.6","120.6","120.6","114.7","114.7","114.7","114.7","114.7","114.7","185.9","185.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","178.3","178.3","178.3","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","178.4","176.7","176.7","176.7","176.7","176.7","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","#N/A","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","#N/A","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3"
"1983:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","130.1","127.2","127.2","127.2","116.9","116.9","116.9","116.9","116.9","116.9","187.3","187.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","180.5","180.5","180.5","180.5","180.5","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","#N/A","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.1","193.1","193.1","193.0","193.0","193.0","193.0","193.0","193.0","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","189.4","#N/A","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6"
