"","BASEBASA65M11","BASEBASA66M2","BASEBASA66M5","BASEBASA66M8","BASEBASA66M11","BASEBASA67M2","BASEBASA67M5","BASEBASA67M8","BASEBASA67M11","BASEBASA68M2","BASEBASA68M5","BASEBASA68M8","BASEBASA68M11","BASEBASA69M2","BASEBASA69M5","BASEBASA69M8","BASEBASA69M11","BASEBASA70M2","BASEBASA70M5","BASEBASA70M8","BASEBASA70M11","BASEBASA71M2","BASEBASA71M5","BASEBASA71M8","BASEBASA71M11","BASEBASA72M2","BASEBASA72M5","BASEBASA72M8","BASEBASA72M11","BASEBASA73M2","BASEBASA73M5","BASEBASA73M8","BASEBASA73M11","BASEBASA74M2","BASEBASA74M5","BASEBASA74M8","BASEBASA74M11","BASEBASA75M2","BASEBASA75M5","BASEBASA75M8","BASEBASA75M11","BASEBASA76M2","BASEBASA76M5","BASEBASA76M8","BASEBASA76M11","BASEBASA77M2","BASEBASA77M5","BASEBASA77M8","BASEBASA77M11","BASEBASA78M2","BASEBASA78M5","BASEBASA78M8","BASEBASA78M11","BASEBASA79M2","BASEBASA79M5","BASEBASA79M8","BASEBASA79M11","BASEBASA80M2","BASEBASA80M5","BASEBASA80M8","BASEBASA80M11","BASEBASA81M2","BASEBASA81M5","BASEBASA81M8","BASEBASA81M11","BASEBASA82M2","BASEBASA82M5","BASEBASA82M8","BASEBASA82M11","BASEBASA83M2","BASEBASA83M5","BASEBASA83M8","BASEBASA83M11","BASEBASA84M2","BASEBASA84M5","BASEBASA84M8","BASEBASA84M11","BASEBASA85M2","BASEBASA85M5","BASEBASA85M8","BASEBASA85M11","BASEBASA86M2","BASEBASA86M5","BASEBASA86M8","BASEBASA86M11","BASEBASA87M2","BASEBASA87M5","BASEBASA87M8","BASEBASA87M11","BASEBASA88M2","BASEBASA88M5","BASEBASA88M8","BASEBASA88M11","BASEBASA89M2","BASEBASA89M5","BASEBASA89M8","BASEBASA89M11","BASEBASA90M2","BASEBASA90M5","BASEBASA90M8","BASEBASA90M11","BASEBASA91M2","BASEBASA91M5","BASEBASA91M8","BASEBASA91M11","BASEBASA92M2","BASEBASA92M5","BASEBASA92M8","BASEBASA92M11","BASEBASA93M2","BASEBASA93M5","BASEBASA93M8","BASEBASA93M11","BASEBASA94M2","BASEBASA94M5","BASEBASA94M8","BASEBASA94M11","BASEBASA95M2","BASEBASA95M5","BASEBASA95M8","BASEBASA95M11","BASEBASA96M2","BASEBASA96M5","BASEBASA96M8","BASEBASA96M11","BASEBASA97M2","BASEBASA97M5","BASEBASA97M8","BASEBASA97M11","BASEBASA98M2","BASEBASA98M5","BASEBASA98M8","BASEBASA98M11","BASEBASA99M2","BASEBASA99M5","BASEBASA99M8","BASEBASA99M11","BASEBASA00M2","BASEBASA00M5","BASEBASA00M8","BASEBASA00M11","BASEBASA01M2","BASEBASA01M5","BASEBASA01M8","BASEBASA01M11","BASEBASA02M2","BASEBASA02M5","BASEBASA02M8","BASEBASA02M11","BASEBASA03M2","BASEBASA03M5","BASEBASA03M8","BASEBASA03M11","BASEBASA04M2","BASEBASA04M5","BASEBASA04M8","BASEBASA04M11","BASEBASA05M2","BASEBASA05M5","BASEBASA05M8","BASEBASA05M11","BASEBASA06M2","BASEBASA06M5","BASEBASA06M8","BASEBASA06M11","BASEBASA07M2","BASEBASA07M5","BASEBASA07M8","BASEBASA07M11","BASEBASA08M2","BASEBASA08M5","BASEBASA08M8","BASEBASA08M11","BASEBASA09M2","BASEBASA09M5","BASEBASA09M8","BASEBASA09M11","BASEBASA10M2","BASEBASA10M5","BASEBASA10M8","BASEBASA10M11","BASEBASA11M2","BASEBASA11M5","BASEBASA11M8","BASEBASA11M11","BASEBASA12M2","BASEBASA12M5","BASEBASA12M8","BASEBASA12M11","BASEBASA13M2","BASEBASA13M5"
"1967:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","62.6","42","61.5","61.2","61.2","61.2","59.7","59.7","59.6","59.6","42","42","42","42","57.328","57.328","56.811","56.811","42","42","42","42","42","42","56.878","56.878","56.878","56.878","56.743","56.743","56.743","56.743","56.743","57.012","57.012","57.012","58.074","58.074","58.074","58.074","58.074","58.074","58.074","58.074","55.442","55.442","55.442","42","42","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165","53.165"
"1967:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","62.8","42","61.7","61.4","61.4","61.4","59.8","59.8","59.9","59.9","42","42","42","42","57.534","57.534","57.012","57.012","42","42","42","42","42","42","57.079","57.079","57.079","57.079","56.946","56.946","56.946","56.946","56.946","57.215","57.215","57.215","58.271","58.271","58.271","58.271","58.271","58.271","58.271","58.271","55.629","55.629","55.629","42","42","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.346999999999994","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347","53.347"
"1967:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","63.0","42","61.9","61.5","61.5","61.5","60.4","60.4","60.3","60.3","42","42","42","42","57.939","57.939","57.427","57.427","42","42","42","42","42","42","57.496","57.496","57.496","57.496","57.36","57.36","57.36","57.36","57.36","57.633","57.633","57.633","58.713","58.713","58.713","58.713","58.713","58.713","58.713","58.713","55.986","55.986","55.986","42","42","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.669999999999995","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67","53.67"
"1967:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","63.7","42","62.6","62.2","62.2","62.2","60.9","60.9","60.9","60.9","42","42","42","42","58.468","58.468","57.754","57.754","42","42","42","42","42","42","57.825","57.825","57.825","57.825","57.686","57.686","57.686","57.686","57.686","57.963","57.963","57.963","59.066","59.066","59.066","59.066","59.066","59.066","59.066","59.066","56.387","56.387","56.387","42","42","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044","54.044"
"1967:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","63.9","42","62.8","62.4","62.4","62.4","61.1","61.1","61.1","61.1","42","42","42","42","58.705","58.705","57.994","57.994","42","42","42","42","42","42","58.065","58.065","58.065","58.065","57.927","57.927","57.927","57.927","57.927","58.203","58.203","58.203","59.297","59.297","59.297","59.297","59.297","59.297","59.297","59.297","56.588","56.588","56.588","42","42","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241","54.241"
"1967:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","64.3","42","63.2","62.8","62.8","62.8","61.5","61.5","61.4","61.4","42","42","42","42","58.963","58.963","58.338","58.338","42","42","42","42","42","42","58.406","58.406","58.406","58.406","58.265","58.265","58.265","58.265","58.265","58.545","58.545","58.545","59.651","59.651","59.651","59.651","59.651","59.651","59.651","59.651","56.944","56.944","56.944","42","42","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.57899999999999","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579","54.579"
"1968:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","64.7","42","63.6","63.1","63.1","63.1","61.8","61.8","61.8","61.8","42","42","42","42","59.357","59.357","58.556","58.556","42","42","42","58.671","58.671","58.671","58.623","58.623","58.623","58.623","58.478","58.478","58.478","58.478","58.478","58.766","58.766","58.766","59.892","59.892","59.892","59.892","59.892","59.892","59.892","59.892","57.242","57.242","57.242","42","42","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.891999999999996","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892","54.892"
"1968:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","64.9","42","63.7","63.3","63.3","63.3","61.9","61.9","62.0","62.0","42","42","42","42","59.468","59.468","58.872","58.872","42","42","42","58.992","58.992","58.992","58.945","58.945","58.945","58.945","58.804","58.804","58.804","58.804","58.804","59.088","59.088","59.088","60.21","60.21","60.21","60.21","60.21","60.21","60.21","60.21","57.542","57.542","57.542","42","42","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171","55.171"
"1968:03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","65.2","42","64.1","63.7","63.7","63.7","62.3","62.3","62.3","62.3","42","42","42","42","59.695","59.695","59.222","59.222","42","42","42","59.343","59.343","59.343","59.297","59.297","59.297","59.297","59.156","59.156","59.156","59.156","59.156","59.439","59.439","59.439","60.563","60.563","60.563","60.563","60.563","60.563","60.563","60.563","57.827","57.827","57.827","42","42","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436","55.436"
"1968:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","65.4","42","64.3","63.9","63.9","63.9","62.5","62.5","62.5","62.5","42","42","42","42","59.971","59.971","59.46","59.46","42","42","42","59.579","59.579","59.579","59.532","59.532","59.532","59.532","59.39","59.39","59.39","59.39","59.39","59.675","59.675","59.675","60.797","60.797","60.797","60.797","60.797","60.797","60.797","60.797","58.064","58.064","58.064","42","42","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.69199999999999","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692","55.692"
"1968:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","65.7","42","64.5","64.1","64.1","64.1","62.7","62.7","62.7","62.7","42","42","42","42","60.186","60.186","59.636","59.636","42","42","42","59.754","59.754","59.754","59.708","59.708","59.708","59.708","59.569","59.569","59.569","59.569","59.569","59.85","59.85","59.85","60.962","60.962","60.962","60.962","60.962","60.962","60.962","60.962","58.236","58.236","58.236","42","42","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872","55.872"
"1968:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","66.2","42","65.0","64.6","64.6","64.6","63.2","63.2","63.2","63.2","42","42","42","42","60.579","60.579","60.187","60.187","42","42","42","60.306","60.306","60.306","60.259","60.259","60.259","60.259","60.117","60.117","60.117","60.117","60.117","60.401","60.401","60.401","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","58.732","58.732","58.732","42","42","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.32299999999999","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323","56.323"
"1968:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","66.8","42","65.6","65.1","65.1","65.1","63.7","63.7","63.7","63.7","42","42","42","42","61.087","61.087","60.528","60.528","42","42","42","60.647","60.647","60.647","60.6","60.6","60.6","60.6","60.456","60.456","60.456","60.456","60.456","60.743","60.743","60.743","61.873","61.873","61.873","61.873","61.873","61.873","61.873","61.873","59.043","59.043","59.043","42","42","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626","56.626"
"1968:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","67.1","42","65.9","65.4","65.4","65.4","64.1","64.1","64.1","64.1","42","42","42","42","61.446","61.446","60.944","60.944","42","42","42","61.065","61.065","61.065","61.018","61.018","61.018","61.018","60.876","60.876","60.876","60.876","60.876","61.164","61.164","61.164","62.293","62.293","62.293","62.293","62.293","62.293","62.293","62.293","59.398","59.398","59.398","42","42","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976","56.976"
"1968:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","67.6","42","66.4","65.9","65.9","65.9","64.5","64.5","64.4","64.4","42","42","42","42","61.728","61.728","61.186","61.186","42","42","42","61.304","61.304","61.304","61.258","61.258","61.258","61.258","61.115","61.115","61.115","61.115","61.115","61.405","61.405","61.405","62.532","62.532","62.532","62.532","62.532","62.532","62.532","62.532","59.566","59.566","59.566","42","42","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.160000000000004","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16","57.16"
"1968:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","67.9","42","66.7","66.2","66.2","66.2","64.8","64.8","64.8","64.8","42","42","42","42","62.138","62.138","61.536","61.536","42","42","42","61.66","61.66","61.66","61.612","61.612","61.612","61.612","61.466","61.466","61.466","61.466","61.466","61.761","61.761","61.761","62.921","62.921","62.921","62.921","62.921","62.921","62.921","62.921","59.928","59.928","59.928","42","42","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477","57.477"
"1968:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","68.6","42","67.3","66.8","66.8","66.8","65.4","65.4","65.3","65.3","42","42","42","42","62.589","62.589","61.993","61.993","42","42","42","62.116","62.116","62.116","62.069","62.069","62.069","62.069","61.924","61.924","61.924","61.924","61.924","62.218","62.218","62.218","63.37","63.37","63.37","63.37","63.371","63.371","63.371","63.371","60.334","60.334","60.334","42","42","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.88699999999999","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887","57.887"
"1968:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","69.2","42","67.9","67.3","67.3","67.3","65.9","65.9","65.9","65.9","42","42","42","42","63.055","63.055","62.413","62.413","42","42","42","62.533","62.533","62.533","62.485","62.485","62.485","62.485","62.34","62.34","62.34","62.34","62.34","62.635","62.635","62.635","63.781","63.781","63.781","63.781","63.781","63.781","63.781","63.781","60.789","60.789","60.789","42","42","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357","58.357"
