"","NBRBASA65M11","NBRBASA66M2","NBRBASA66M5","NBRBASA66M8","NBRBASA66M11","NBRBASA67M2","NBRBASA67M5","NBRBASA67M8","NBRBASA67M11","NBRBASA68M2","NBRBASA68M5","NBRBASA68M8","NBRBASA68M11","NBRBASA69M2","NBRBASA69M5","NBRBASA69M8","NBRBASA69M11","NBRBASA70M2","NBRBASA70M5","NBRBASA70M8","NBRBASA70M11","NBRBASA71M2","NBRBASA71M5","NBRBASA71M8","NBRBASA71M11","NBRBASA72M2","NBRBASA72M5","NBRBASA72M8","NBRBASA72M11","NBRBASA73M2","NBRBASA73M5","NBRBASA73M8","NBRBASA73M11","NBRBASA74M2","NBRBASA74M5","NBRBASA74M8","NBRBASA74M11","NBRBASA75M2","NBRBASA75M5","NBRBASA75M8","NBRBASA75M11","NBRBASA76M2","NBRBASA76M5","NBRBASA76M8","NBRBASA76M11","NBRBASA77M2","NBRBASA77M5","NBRBASA77M8","NBRBASA77M11","NBRBASA78M2","NBRBASA78M5","NBRBASA78M8","NBRBASA78M11","NBRBASA79M2","NBRBASA79M5","NBRBASA79M8","NBRBASA79M11","NBRBASA80M2","NBRBASA80M5","NBRBASA80M8","NBRBASA80M11","NBRBASA81M2","NBRBASA81M5","NBRBASA81M8","NBRBASA81M11","NBRBASA82M2","NBRBASA82M5","NBRBASA82M8","NBRBASA82M11","NBRBASA83M2","NBRBASA83M5","NBRBASA83M8","NBRBASA83M11","NBRBASA84M2","NBRBASA84M5","NBRBASA84M8","NBRBASA84M11","NBRBASA85M2","NBRBASA85M5","NBRBASA85M8","NBRBASA85M11","NBRBASA86M2","NBRBASA86M5","NBRBASA86M8","NBRBASA86M11","NBRBASA87M2","NBRBASA87M5","NBRBASA87M8","NBRBASA87M11","NBRBASA88M2","NBRBASA88M5","NBRBASA88M8","NBRBASA88M11","NBRBASA89M2","NBRBASA89M5","NBRBASA89M8","NBRBASA89M11","NBRBASA90M2","NBRBASA90M5","NBRBASA90M8","NBRBASA90M11","NBRBASA91M2","NBRBASA91M5","NBRBASA91M8","NBRBASA91M11","NBRBASA92M2","NBRBASA92M5","NBRBASA92M8","NBRBASA92M11","NBRBASA93M2","NBRBASA93M5","NBRBASA93M8","NBRBASA93M11","NBRBASA94M2","NBRBASA94M5","NBRBASA94M8","NBRBASA94M11","NBRBASA95M2","NBRBASA95M5","NBRBASA95M8","NBRBASA95M11","NBRBASA96M2","NBRBASA96M5","NBRBASA96M8","NBRBASA96M11","NBRBASA97M2","NBRBASA97M5","NBRBASA97M8","NBRBASA97M11","NBRBASA98M2","NBRBASA98M5","NBRBASA98M8","NBRBASA98M11","NBRBASA99M2","NBRBASA99M5","NBRBASA99M8","NBRBASA99M11","NBRBASA00M2","NBRBASA00M5","NBRBASA00M8","NBRBASA00M11","NBRBASA01M2","NBRBASA01M5","NBRBASA01M8","NBRBASA01M11","NBRBASA02M2","NBRBASA02M5","NBRBASA02M8","NBRBASA02M11","NBRBASA03M2","NBRBASA03M5","NBRBASA03M8","NBRBASA03M11","NBRBASA04M2","NBRBASA04M5","NBRBASA04M8","NBRBASA04M11","NBRBASA05M2","NBRBASA05M5","NBRBASA05M8","NBRBASA05M11","NBRBASA06M2","NBRBASA06M5","NBRBASA06M8","NBRBASA06M11","NBRBASA07M2","NBRBASA07M5","NBRBASA07M8","NBRBASA07M11","NBRBASA08M2","NBRBASA08M5","NBRBASA08M8","NBRBASA08M11","NBRBASA09M2","NBRBASA09M5","NBRBASA09M8","NBRBASA09M11","NBRBASA10M2","NBRBASA10M5","NBRBASA10M8","NBRBASA10M11","NBRBASA11M2","NBRBASA11M5","NBRBASA11M8","NBRBASA11M11","NBRBASA12M2","NBRBASA12M5","NBRBASA12M8","NBRBASA12M11","NBRBASA13M2","NBRBASA13M5"
"1959:05","42","42","42","42","42","42","42","17.37","17.37","17.37","17.37","17.67","17.67","17.67","17.67","18.02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.441","42","15.044","15.365","15.365","15.365","14.414","14.414","14.413","14.413","42","42","42","42","13.256","13.256","12.754","12.754","42","42","42","12.904","12.904","12.904","12.861","12.861","12.861","12.861","12.757","12.757","12.757","12.757","12.757","12.911","12.911","12.911","13.864","13.864","13.864","13.864","13.864","13.864","13.864","13.864","12.307","12.307","12.307","42","42","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.316999999999998","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317","10.317"
"1959:06","42","42","42","42","42","42","42","17.05","17.05","17.05","17.05","17.35","17.35","17.35","17.35","17.63","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.154","42","14.755","15.08","15.08","15.08","14.126","14.126","14.125","14.125","42","42","42","42","12.97","12.97","12.47","12.47","42","42","42","12.619","12.619","12.619","12.577","12.577","12.577","12.577","12.473","12.473","12.473","12.473","12.473","12.627","12.627","12.627","13.574","13.574","13.574","13.574","13.574","13.574","13.574","13.574","12.019","12.019","12.019","42","42","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043","10.043"
"1959:07","42","42","42","42","42","42","42","17.12","17.12","17.12","17.12","17.43","17.43","17.43","17.43","17.79","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.287","42","14.889","15.206","15.206","15.206","14.26","14.26","14.26","14.26","42","42","42","42","13.1","13.1","12.596","12.596","42","42","42","12.747","12.747","12.747","12.704","12.704","12.704","12.704","12.6","12.6","12.6","12.6","12.6","12.755","12.755","12.755","13.714","13.714","13.714","13.714","13.714","13.714","13.714","13.714","12.148","12.148","12.148","42","42","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148","10.148"
"1959:08","42","42","42","42","42","42","42","17.14","17.14","17.14","17.14","17.44","17.44","17.44","17.44","17.75","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.34","42","14.942","15.256","15.256","15.256","14.302","14.302","14.302","14.302","42","42","42","42","13.134","13.134","12.629","12.629","42","42","42","12.779","12.779","12.779","12.736","12.736","12.736","12.736","12.63","12.63","12.63","12.63","12.63","12.783","12.783","12.783","13.742","13.742","13.742","13.742","13.742","13.742","13.742","13.742","12.183","12.183","12.183","42","42","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177","10.177"
"1959:09","42","42","42","42","42","42","42","17.12","17.12","17.12","17.12","17.42","17.42","17.42","17.42","17.71","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.346","42","14.949","15.265","15.265","15.265","14.315","14.315","14.315","14.315","42","42","42","42","13.152","13.152","12.648","12.648","42","42","42","12.798","12.798","12.798","12.755","12.755","12.755","12.755","12.651","12.651","12.651","12.651","12.651","12.805","12.805","12.805","13.762","13.762","13.762","13.762","13.762","13.762","13.762","13.762","12.201","12.201","12.201","42","42","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202","10.202"
"1959:10","42","42","42","42","42","42","42","17.05","17.05","17.05","17.05","17.35","17.35","17.35","17.35","17.67","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.277","42","14.88","15.202","15.202","15.202","14.253","14.253","14.24","14.24","42","42","42","42","13.085","13.085","12.584","12.584","42","42","42","12.734","12.734","12.734","12.692","12.692","12.692","12.692","12.589","12.589","12.589","12.589","12.589","12.743","12.743","12.743","13.696","13.696","13.696","13.696","13.696","13.696","13.696","13.696","12.136","12.136","12.136","42","42","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15","10.15"
"1959:11","42","42","42","42","42","42","42","17.04","17.04","17.04","17.04","17.34","17.34","17.34","17.34","17.66","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.316","42","14.918","15.241","15.241","15.241","14.294","14.294","14.281","14.281","42","42","42","42","13.127","13.127","12.627","12.627","42","42","42","12.777","12.777","12.777","12.735","12.735","12.735","12.735","12.632","12.632","12.632","12.632","12.632","12.787","12.787","12.787","13.74","13.74","13.74","13.74","13.74","13.74","13.74","13.74","12.178","12.178","12.178","42","42","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194"
"1959:12","42","42","42","42","42","42","42","17.03","17.03","17.03","17.03","17.33","17.33","17.33","17.33","17.59","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.25","42","14.852","15.177","15.177","15.177","14.247","14.247","14.244","14.244","42","42","42","42","13.1","13.1","12.601","12.601","42","42","42","12.754","12.754","12.754","12.713","12.713","12.713","12.713","12.611","12.611","12.611","12.611","12.611","12.77","12.77","12.77","13.727","13.727","13.727","13.727","13.727","13.727","13.727","13.727","12.15","12.15","12.15","42","42","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168","10.168"
"1960:01","42","42","42","42","42","42","42","17.0","17.0","17.0","17.0","17.3","17.3","17.3","17.3","17.56","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.24","42","14.846","15.176","15.176","15.176","14.242","14.242","14.256","14.256","42","42","42","42","13.115","13.115","12.618","12.618","42","42","42","12.77","12.77","12.77","12.729","12.729","12.729","12.729","12.627","12.627","12.627","12.627","12.627","12.784","12.784","12.784","13.737","13.737","13.737","13.737","13.737","13.737","13.737","13.737","12.17","12.17","12.17","42","42","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.193999999999999","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194","10.194"
"1960:02","42","42","42","42","42","42","42","16.88","16.88","16.88","16.88","17.18","17.18","17.18","17.18","17.54","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.106","42","14.713","15.053","15.053","15.053","14.091","14.091","14.105","14.105","42","42","42","42","12.962","12.962","12.469","12.469","42","42","42","12.616","12.616","12.616","12.574","12.574","12.574","12.574","12.471","12.471","12.471","12.471","12.471","12.622","12.622","12.622","13.557","13.557","13.557","13.557","13.557","13.557","13.557","13.557","12.025","12.025","12.025","42","42","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074","10.074"
"1960:03","42","42","42","42","42","42","42","16.96","16.96","16.96","16.96","17.26","17.26","17.26","17.26","17.62","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.184","42","14.791","15.134","15.134","15.134","14.164","14.164","14.175","14.175","42","42","42","42","13.032","13.032","12.54","12.54","42","42","42","12.686","12.686","12.686","12.644","12.644","12.644","12.644","12.542","12.542","12.542","12.542","12.542","12.69","12.69","12.69","13.619","13.619","13.619","13.619","13.619","13.619","13.619","13.619","12.096","12.096","12.096","42","42","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155000000000001","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155","10.155"
"1960:04","42","42","42","42","42","42","42","17.02","17.02","17.02","17.02","17.32","17.32","17.32","17.32","17.63","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.191","42","14.795","15.139","15.139","15.139","14.175","14.175","14.176","14.176","42","42","42","42","13.035","13.035","12.544","12.544","42","42","42","12.69","12.69","12.69","12.649","12.649","12.649","12.649","12.548","12.548","12.548","12.548","12.548","12.698","12.698","12.698","13.626","13.626","13.626","13.626","13.626","13.626","13.626","13.626","12.095","12.095","12.095","42","42","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161","10.161"
"1960:05","42","42","42","42","42","42","42","17.31","17.31","17.31","17.31","17.61","17.61","17.61","17.61","17.92","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.401","42","15.004","15.343","15.343","15.343","14.38","14.38","14.379","14.379","42","42","42","42","13.232","13.232","12.739","12.739","42","42","42","12.885","12.885","12.885","12.844","12.844","12.844","12.844","12.742","12.742","12.742","12.742","12.742","12.893","12.893","12.893","13.825","13.825","13.825","13.825","13.825","13.825","13.825","13.825","12.289","12.289","12.289","42","42","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344","10.344"
"1960:06","42","42","42","42","42","42","42","17.41","17.41","17.41","17.41","17.71","17.71","17.71","17.71","17.98","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.52","42","15.121","15.457","15.457","15.457","14.496","14.496","14.495","14.495","42","42","42","42","13.345","13.345","12.851","12.851","42","42","42","12.998","12.998","12.998","12.956","12.956","12.956","12.956","12.855","12.855","12.855","12.855","12.855","13.006","13.006","13.006","13.94","13.94","13.94","13.94","13.94","13.94","13.94","13.94","12.397","12.397","12.397","42","42","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.450999999999999","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451","10.451"
"1960:07","42","42","42","42","42","42","42","17.54","17.54","17.54","17.54","17.85","17.85","17.85","17.85","18.2","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.731","42","15.327","15.653","15.653","15.653","14.697","14.697","14.696","14.696","42","42","42","42","13.536","13.536","13.037","13.037","42","42","42","13.185","13.185","13.185","13.144","13.144","13.144","13.144","13.041","13.041","13.041","13.041","13.041","13.194","13.194","13.194","14.137","14.137","14.137","14.137","14.137","14.137","14.137","14.137","12.577","12.577","12.577","42","42","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.614999999999998","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615","10.615"
"1960:08","42","42","42","42","42","42","42","17.74","17.74","17.74","17.74","18.05","18.05","18.05","18.05","18.34","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","15.957","42","15.548","15.866","15.866","15.866","14.902","14.902","14.901","14.901","42","42","42","42","13.723","13.723","13.22","13.22","42","42","42","13.368","13.368","13.368","13.325","13.325","13.325","13.325","13.222","13.222","13.222","13.222","13.222","13.373","13.373","13.373","14.317","14.317","14.317","14.317","14.317","14.317","14.317","14.317","12.753","12.753","12.753","42","42","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.781999999999998","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782","10.782"
"1960:09","42","42","42","42","42","42","42","17.9","17.9","17.9","17.9","18.21","18.21","18.21","18.21","18.47","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","16.126","42","15.71","16.025","16.025","16.025","15.064","15.064","15.064","15.064","42","42","42","42","13.881","13.881","13.376","13.376","42","42","42","13.525","13.525","13.525","13.483","13.483","13.483","13.483","13.38","13.38","13.38","13.38","13.38","13.533","13.533","13.533","14.478","14.478","14.478","14.478","14.478","14.478","14.478","14.478","12.9","12.9","12.9","42","42","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.931999999999999","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932","10.932"
"1960:10","42","42","42","42","42","42","42","18.01","18.01","18.01","18.01","18.32","18.32","18.32","18.32","18.68","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","16.281","42","15.86","16.168","16.168","16.168","15.214","15.214","15.202","15.202","42","42","42","42","14.014","14.014","13.506","13.506","42","42","42","13.657","13.657","13.657","13.615","13.615","13.615","13.615","13.512","13.512","13.512","13.512","13.512","13.667","13.667","13.667","14.617","14.617","14.617","14.617","14.617","14.617","14.617","14.617","13.023","13.023","13.023","42","42","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049","11.049"
